Index,opt,timeOpt,locOpt,catOpt,modelOpt,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,obj
203,10,raw,polar,onehot,XG,9,0.030440544,283,0.991680499,0.620344583,0.646886235
204,10,raw,elliptic,onehot,XG,12,0.037217155,216,0.68009155,0.618982511,0.647316565
205,10,addDur,raw,onehot,XG,11,0.031799043,287,0.951190419,0.639693967,0.651788261
206,10,addDur,zone,onehot,XG,6,0.061163785,82,0.600072369,0.867338554,0.6182878
207,10,addDur,2dpos,onehot,XG,12,0.025937046,218,0.883851102,0.610483082,0.651528764
208,10,addDur,polar,onehot,XG,8,0.039472126,278,0.954384214,0.646625442,0.646521796
209,10,addDur,elliptic,onehot,XG,12,0.021709497,157,0.771691969,0.860562276,0.642050202
210,10,cyclic,raw,onehot,XG,7,0.06010128,298,0.767209041,0.754771866,0.647781697
211,10,cyclic,zone,onehot,XG,6,0.094019224,118,0.748680093,0.689320024,0.618493776
212,10,cyclic,2dpos,onehot,XG,12,0.029958292,137,0.641989581,0.652369291,0.649868896
213,10,cyclic,polar,onehot,XG,10,0.036011176,193,0.917723835,0.707320214,0.644251099
214,10,cyclic,elliptic,onehot,XG,8,0.065120218,121,0.939999052,0.693915063,0.642323604
215,10,1dpos,raw,onehot,XG,11,0.051594679,251,0.829830262,0.964616253,0.571744475
216,10,1dpos,zone,onehot,XG,12,0.084634809,178,0.720229087,0.701735563,0.54250139
217,10,1dpos,2dpos,onehot,XG,9,0.116002774,286,0.886442913,0.610424851,0.572034493
218,10,1dpos,polar,onehot,XG,13,0.048606652,241,0.865317248,0.778001197,0.566508953
219,10,1dpos,elliptic,onehot,XG,9,0.056744875,196,0.832721122,0.796821164,0.565161501
220,11,raw,raw,onehot,XG,13,0.014420368,261,0.950270679,0.617636925,0.653935616
221,11,raw,zone,onehot,XG,6,0.034238811,257,0.742133957,0.93471864,0.619455772
222,11,raw,2dpos,onehot,XG,13,0.015484679,285,0.811292039,0.620767885,0.654342702
223,11,raw,polar,onehot,XG,8,0.037588399,283,0.831303149,0.773569248,0.646824313
224,11,raw,elliptic,onehot,XG,14,0.020305481,272,0.694277933,0.702646971,0.645074417
225,11,addDur,raw,onehot,XG,12,0.034765812,281,0.892485784,0.642986732,0.652006497
226,11,addDur,zone,onehot,XG,6,0.078487557,78,0.601052973,0.714751012,0.618576646
227,11,addDur,2dpos,onehot,XG,11,0.019751328,272,0.73274624,0.696355333,0.653042004
228,11,addDur,polar,onehot,XG,12,0.035679033,156,0.953015732,0.642974341,0.645080968
229,11,addDur,elliptic,onehot,XG,15,0.014702762,235,0.938685885,0.617953393,0.642835903
230,11,cyclic,raw,onehot,XG,8,0.063682364,107,0.618153274,0.84760337,0.646669979
231,11,cyclic,zone,onehot,XG,6,0.034360475,250,0.832814193,0.937509221,0.617248416
232,11,cyclic,2dpos,onehot,XG,11,0.055328666,153,0.744078699,0.655914351,0.64921105
233,11,cyclic,polar,onehot,XG,8,0.055859742,266,0.624437942,0.969899728,0.644316022
234,11,cyclic,elliptic,onehot,XG,11,0.02315687,270,0.953950152,0.807020917,0.642582914
235,11,1dpos,raw,onehot,XG,9,0.092084005,290,0.868104555,0.775040345,0.571934932
236,11,1dpos,zone,onehot,XG,9,0.081010789,277,0.883073586,0.712320747,0.542005208
237,11,1dpos,2dpos,onehot,XG,9,0.06195105,246,0.786544634,0.630960234,0.573789645
238,11,1dpos,polar,onehot,XG,10,0.028785936,261,0.745217304,0.725597985,0.566775939
239,11,1dpos,elliptic,onehot,XG,9,0.039390889,290,0.631180574,0.783192351,0.564809633
240,12,raw,raw,onehot,XG,13,0.017993436,287,0.628149301,0.754098546,0.651792257
241,12,raw,zone,onehot,XG,5,0.033573045,200,0.921320397,0.934085102,0.618304486
242,12,raw,2dpos,onehot,XG,10,0.023961994,285,0.663319232,0.611219671,0.654096577
243,12,raw,polar,onehot,XG,12,0.034252222,139,0.930105872,0.618049627,0.648679379
244,12,raw,elliptic,onehot,XG,9,0.034846614,292,0.884872257,0.792327603,0.646071826
245,12,addDur,raw,onehot,XG,11,0.02966727,277,0.965122206,0.614678063,0.654675873
246,12,addDur,zone,onehot,XG,5,0.059827412,162,0.926074752,0.741738153,0.617531317
247,12,addDur,2dpos,onehot,XG,11,0.050137363,235,0.84708737,0.657377784,0.651280287
248,12,addDur,polar,onehot,XG,10,0.077115979,125,0.990235336,0.645656538,0.647419528
249,12,addDur,elliptic,onehot,XG,12,0.019179674,295,0.880961231,0.719192102,0.645546683
250,12,cyclic,raw,onehot,XG,9,0.044635562,242,0.762382664,0.636571849,0.650161062
251,12,cyclic,zone,onehot,XG,5,0.060069481,148,0.763754693,0.836847296,0.617364044
252,12,cyclic,2dpos,onehot,XG,9,0.032671048,272,0.741664845,0.702861271,0.652419513
253,12,cyclic,polar,onehot,XG,10,0.052668979,169,0.942457961,0.636403294,0.644811971
254,12,cyclic,elliptic,onehot,XG,12,0.039580596,160,0.903907171,0.779017207,0.643829521
255,12,1dpos,raw,onehot,XG,15,0.030107599,291,0.676404131,0.671762187,0.571048662
256,12,1dpos,zone,onehot,XG,12,0.060192378,281,0.863025038,0.725912808,0.542802499
257,12,1dpos,2dpos,onehot,XG,10,0.09159778,275,0.90772693,0.80853935,0.574936463
258,12,1dpos,polar,onehot,XG,11,0.03820716,279,0.962911629,0.639284555,0.572028909
259,12,1dpos,elliptic,onehot,XG,11,0.034966701,252,0.709979491,0.675531112,0.567649927
260,13,raw,raw,onehot,XG,10,0.035690294,251,0.724219072,0.811283321,0.654089817
261,13,raw,zone,onehot,XG,6,0.092694594,77,0.779404752,0.840203069,0.621103907
262,13,raw,2dpos,onehot,XG,14,0.041859467,169,0.752821479,0.67560114,0.651912398
263,13,raw,polar,onehot,XG,12,0.01354002,273,0.979726761,0.624327868,0.648503507
264,13,raw,elliptic,onehot,XG,13,0.027713448,124,0.821200582,0.706567607,0.646095284
265,13,addDur,raw,onehot,XG,10,0.038165133,223,0.782658411,0.77202781,0.651524118
266,13,addDur,zone,onehot,XG,5,0.041673835,233,0.689468964,0.712454893,0.618605619
267,13,addDur,2dpos,onehot,XG,14,0.013201845,227,0.847832316,0.613007747,0.653116627
268,13,addDur,polar,onehot,XG,10,0.043548907,191,0.974924563,0.702741914,0.646876267
